wafer_id,stage,wafers_remaining,budget_remaining,budget_remaining_after,budget_per_wafer,adjustment,tau_base,tau_adjusted,risk_score,decision,reason
W020,0,103,1050,1050,10.194174757281553,0.08,0.5773292869333333,0.623515629888,0.5250590733333333,pass,low_budget
W002,0,102,1050,1050,10.294117647058824,0.08,0.5773292869333333,0.623515629888,0.47544106199999997,pass,low_budget
W003,0,101,1050,1050,10.396039603960396,0.08,0.5773292869333333,0.623515629888,0.47759698933333333,pass,low_budget
W008,0,100,1050,1050,10.5,0.08,0.5773292869333333,0.623515629888,0.16538244466666657,pass,low_budget
W011,0,99,1050,1050,10.606060606060606,0.08,0.5773292869333333,0.623515629888,0.5947019266666668,pass,low_budget
W016,0,98,1050,1050,10.714285714285714,0.08,0.5773292869333333,0.623515629888,0.5517307213333333,pass,low_budget
W005,0,97,1050,1050,10.824742268041238,0.08,0.5773292869333333,0.623515629888,0.15804468999999996,pass,low_budget
W013,0,96,1050,1050,10.9375,0.08,0.5773292869333333,0.623515629888,0.22660683733333326,pass,low_budget
W014,0,95,1050,1050,11.052631578947368,0.08,0.5773292869333333,0.623515629888,0.5867986853333333,pass,low_budget
W025,0,94,1050,1050,11.170212765957446,0.08,0.5773292869333333,0.623515629888,0.4752465046666666,pass,low_budget
W009,0,93,1050,1050,11.290322580645162,0.08,0.5773292869333333,0.623515629888,0.521624278,pass,low_budget
W006,0,92,1050,1050,11.41304347826087,0.08,0.5773292869333333,0.623515629888,0.2946198593333333,pass,low_budget
W018,0,91,1050,1050,11.538461538461538,0.08,0.5773292869333333,0.623515629888,0.2617825533333333,pass,low_budget
W024,0,90,1050,1050,11.666666666666666,0.08,0.5773292869333333,0.623515629888,0.15460200799999999,pass,low_budget
W017,0,89,1050,1050,11.797752808988765,0.08,0.5773292869333333,0.623515629888,0.2245204819999999,pass,low_budget
W006,0,88,1050,1050,11.931818181818182,0.08,0.5773292869333333,0.623515629888,0.5010996086666667,pass,low_budget
W008,0,87,1050,1050,12.068965517241379,0.0,0.5773292869333333,0.5773292869333333,0.2923896099999999,pass,normal
W007,0,86,1050,1050,12.209302325581396,0.0,0.5773292869333333,0.5773292869333333,0.344031184,pass,normal
W016,0,85,1050,1050,12.352941176470589,0.0,0.5773292869333333,0.5773292869333333,0.2111087566666667,pass,normal
W007,0,84,1050,1050,12.5,0.0,0.5773292869333333,0.5773292869333333,0.5090001486666667,pass,normal
W002,0,83,1050,1050,12.650602409638553,0.0,0.5773292869333333,0.5773292869333333,0.11446712133333331,pass,normal
W021,0,82,1050,1050,12.804878048780488,0.0,0.5773292869333333,0.5773292869333333,0.14752466933333333,pass,normal
W016,0,81,1050,1050,12.962962962962964,0.0,0.5773292869333333,0.5773292869333333,0.1064585866666666,pass,normal
W024,0,80,1050,1050,13.125,0.0,0.5773292869333333,0.5773292869333333,0.17052223666666666,pass,normal
W014,0,79,1050,1050,13.291139240506329,0.0,0.5773292869333333,0.5773292869333333,0.565070624,pass,normal
W010,0,78,1050,1050,13.461538461538462,0.0,0.5773292869333333,0.5773292869333333,0.556014544,pass,normal
W006,0,77,1050,1050,13.636363636363637,0.0,0.5773292869333333,0.5773292869333333,0.402478068,pass,normal
W008,0,76,1050,1050,13.81578947368421,0.0,0.5773292869333333,0.5773292869333333,0.48614460666666665,pass,normal
W009,0,75,1050,1050,14.0,0.0,0.5773292869333333,0.5773292869333333,0.25719247666666667,pass,normal
W014,0,74,1050,1050,14.18918918918919,0.0,0.5773292869333333,0.5773292869333333,0.53287924,pass,normal
W004,0,73,1050,1050,14.383561643835616,0.0,0.5773292869333333,0.5773292869333333,0.5451085846666667,pass,normal
W006,0,72,1050,1050,14.583333333333334,0.0,0.5773292869333333,0.5773292869333333,0.236763506,pass,normal
W011,0,71,1050,1050,14.788732394366198,0.0,0.5773292869333333,0.5773292869333333,0.30141157333333335,pass,normal
W021,0,70,1050,900,15.0,0.0,0.5773292869333333,0.5773292869333333,0.622999036,inspect,normal
W007,0,69,900,900,13.043478260869565,0.0,0.5773292869333333,0.5773292869333333,0.24418157999999995,pass,normal
