wafer_id,stage,decision,risk_score,threshold,scheduler_reason,confidence,top_reason_1,top_reason_2,top_reason_3
W003,0,inspect,0.7482876159999999,0.5773292869333333,normal,0.0,,,
W018,0,pass,0.5506033506666668,0.623515629888,low_budget,0.0,,,
W015,0,pass,0.5044029426666667,0.623515629888,low_budget,0.0,,,
W013,0,pass,0.08949615866666666,0.623515629888,low_budget,0.0,,,
W019,0,pass,0.5191359959999999,0.623515629888,low_budget,0.0,,,
W020,0,pass,0.5637926133333333,0.623515629888,low_budget,0.0,,,
W004,0,pass,0.23335057999999997,0.623515629888,low_budget,0.0,,,
W010,0,pass,0.49598929866666663,0.623515629888,low_budget,0.0,,,
W023,0,pass,0.5889144246666667,0.623515629888,low_budget,0.0,,,
W007,0,pass,0.497488606,0.623515629888,low_budget,0.0,,,
W016,0,pass,0.602318066,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.34564080333333336,0.5773292869333333,normal,0.0,,,
W005,0,inspect,0.5987578473333334,0.5773292869333333,normal,0.0,,,
W024,0,pass,0.5044915273333334,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.5578848000000001,0.623515629888,low_budget,0.0,,,
W016,0,pass,0.582155792,0.623515629888,low_budget,0.0,,,
W004,0,inspect,0.657336852,0.623515629888,low_budget,0.0,,,
W012,0,pass,0.577577088,0.6639286799733333,critical_budget,0.0,,,
W002,0,pass,0.5184708266666667,0.623515629888,low_budget,0.0,,,
W024,0,pass,0.5069229086666667,0.623515629888,low_budget,0.0,,,
W020,0,pass,0.5250590733333333,0.623515629888,low_budget,0.0,,,
W002,0,pass,0.47544106199999997,0.623515629888,low_budget,0.0,,,
W003,0,pass,0.47759698933333333,0.623515629888,low_budget,0.0,,,
W008,0,pass,0.16538244466666657,0.623515629888,low_budget,0.0,,,
W011,0,pass,0.5947019266666668,0.623515629888,low_budget,0.0,,,
W016,0,pass,0.5517307213333333,0.623515629888,low_budget,0.0,,,
W005,0,pass,0.15804468999999996,0.623515629888,low_budget,0.0,,,
W013,0,pass,0.22660683733333326,0.623515629888,low_budget,0.0,,,
W014,0,pass,0.5867986853333333,0.623515629888,low_budget,0.0,,,
W025,0,pass,0.4752465046666666,0.623515629888,low_budget,0.0,,,
W009,0,pass,0.521624278,0.623515629888,low_budget,0.0,,,
W006,0,pass,0.2946198593333333,0.623515629888,low_budget,0.0,,,
W018,0,pass,0.2617825533333333,0.623515629888,low_budget,0.0,,,
W024,0,pass,0.15460200799999999,0.623515629888,low_budget,0.0,,,
W017,0,pass,0.2245204819999999,0.623515629888,low_budget,0.0,,,
